"block_number","triad","target_image_pair","part","prime_word","target_word","type","relatedness","correct_response","image_path","correct_key"
1,1,"cash-rock","priming","foobly","cash","direct","related",1,"cashrock.png","A"
1,1,"cash-rock","priming","dodsy","cash","direct","unrelated",1,"cashrock.png","A"
1,1,"cash-rock","priming","nuppical","cash","novel","novel",1,"cashrock.png","A"
1,1,"cash-rock","priming","boff","cash","novel","novel",1,"cashrock.png","A"
1,2,"cash-rock","priming","foobly","rock","direct","unrelated",3,"cashrock.png","L"
1,2,"cash-rock","priming","dodsy","rock","direct","related",3,"cashrock.png","L"
1,2,"cash-rock","priming","nuppical","rock","novel","novel",3,"cashrock.png","L"
1,2,"cash-rock","priming","boff","rock","novel","novel",3,"cashrock.png","L"
1,1,"rock-cash","priming","foobly","cash","direct","related",3,"rockcash.png","L"
1,1,"rock-cash","priming","dodsy","cash","direct","unrelated",3,"rockcash.png","L"
1,1,"rock-cash","priming","nuppical","cash","novel","novel",3,"rockcash.png","L"
1,1,"rock-cash","priming","boff","cash","novel","novel",3,"rockcash.png","L"
1,2,"rock-cash","priming","foobly","rock","direct","unrelated",1,"rockcash.png","A"
1,2,"rock-cash","priming","dodsy","rock","direct","related",1,"rockcash.png","A"
1,2,"rock-cash","priming","nuppical","rock","novel","novel",1,"rockcash.png","A"
1,2,"rock-cash","priming","boff","rock","novel","novel",1,"rockcash.png","A"
1,1,"cash-rock","priming","foobly","cash","direct","related",1,"cashrock.png","A"
1,1,"cash-rock","priming","dodsy","cash","direct","unrelated",1,"cashrock.png","A"
1,2,"cash-rock","priming","foobly","rock","direct","unrelated",3,"cashrock.png","L"
1,2,"cash-rock","priming","dodsy","rock","direct","related",3,"cashrock.png","L"
1,1,"rock-cash","priming","foobly","cash","direct","related",3,"rockcash.png","L"
1,1,"rock-cash","priming","dodsy","cash","direct","unrelated",3,"rockcash.png","L"
1,2,"rock-cash","priming","foobly","rock","direct","unrelated",1,"rockcash.png","A"
1,2,"rock-cash","priming","dodsy","rock","direct","related",1,"rockcash.png","A"
